season,team_abbr,xgf_pct,cf_pct,ff_pct
2009,ANA,51.0,50.0,50.0
2009,ARI,47.0,46.0,47.0
2009,ATL,47.0,47.0,47.0
2009,BOS,51.0,50.0,50.0
2009,BUF,51.0,49.0,49.0
2009,CAR,50.0,52.0,52.0
2009,CBJ,50.0,51.0,51.0
2009,CGY,51.0,54.0,52.0
2009,CHI,52.0,54.0,54.0
2009,COL,49.0,47.0,48.0
2009,DAL,49.0,51.0,51.0
2009,DET,55.0,58.0,57.0
2009,EDM,48.0,47.0,47.0
2009,FLA,48.0,47.0,46.0
2009,LAK,51.0,51.0,51.0
2009,MIN,48.0,48.0,48.0
2009,MTL,50.0,49.0,49.0
2009,NJD,53.0,53.0,53.0
2009,NSH,47.0,50.0,50.0
2009,NYI,45.0,46.0,46.0
2009,NYR,50.0,53.0,52.0
2009,OTT,50.0,50.0,50.0
2009,PHI,49.0,48.0,48.0
2009,PIT,51.0,48.0,49.0
2009,SJS,57.0,55.0,55.0
2009,STL,50.0,48.0,49.0
2009,TBL,48.0,47.0,47.0
2009,TOR,49.0,50.0,51.0
2009,VAN,51.0,50.0,49.0
2009,WSH,54.0,54.0,53.0
2010,ANA,46.0,48.0,47.0
2010,ARI,51.0,51.0,50.0
2010,ATL,45.0,48.0,47.0
2010,BOS,52.0,53.0,52.0
2010,BUF,50.0,50.0,50.0
2010,CAR,48.0,49.0,48.0
2010,CBJ,47.0,48.0,47.0
2010,CGY,50.0,51.0,50.0
2010,CHI,57.0,56.0,57.0
2010,COL,49.0,45.0,46.0
2010,DAL,50.0,49.0,49.0
2010,DET,54.0,55.0,54.0
2010,EDM,45.0,45.0,45.0
2010,FLA,44.0,45.0,46.0
2010,LAK,51.0,51.0,51.0
2010,MIN,50.0,49.0,49.0
2010,MTL,49.0,47.0,47.0
2010,NJD,53.0,52.0,53.0
2010,NSH,50.0,52.0,52.0
2010,NYI,50.0,48.0,49.0
2010,NYR,48.0,49.0,50.0
2010,OTT,52.0,50.0,51.0
2010,PHI,53.0,51.0,52.0
2010,PIT,52.0,52.0,53.0
2010,SJS,52.0,51.0,51.0
2010,STL,48.0,50.0,50.0
2010,TBL,49.0,48.0,48.0
2010,TOR,51.0,52.0,52.0
2010,VAN,52.0,52.0,52.0
2010,WSH,52.0,53.0,52.0
2011,ANA,46.0,45.0,46.0
2011,ARI,48.0,49.0,48.0
2011,ATL,47.0,49.0,50.0
2011,BOS,49.0,51.0,50.0
2011,BUF,50.0,50.0,50.0
2011,CAR,49.0,49.0,48.0
2011,CBJ,50.0,51.0,51.0
2011,CGY,53.0,52.0,52.0
2011,CHI,51.0,52.0,53.0
2011,COL,47.0,47.0,47.0
2011,DAL,48.0,49.0,49.0
2011,DET,53.0,54.0,53.0
2011,EDM,45.0,46.0,45.0
2011,FLA,50.0,49.0,49.0
2011,LAK,52.0,52.0,51.0
2011,MIN,45.0,46.0,45.0
2011,MTL,49.0,51.0,51.0
2011,NJD,50.0,52.0,52.0
2011,NSH,50.0,49.0,48.0
2011,NYI,47.0,47.0,47.0
2011,NYR,53.0,49.0,51.0
2011,OTT,46.0,49.0,48.0
2011,PHI,52.0,50.0,51.0
2011,PIT,52.0,53.0,52.0
2011,SJS,56.0,54.0,55.0
2011,STL,51.0,52.0,52.0
2011,TBL,55.0,51.0,52.0
2011,TOR,48.0,49.0,48.0
2011,VAN,53.0,53.0,52.0
2011,WSH,53.0,52.0,52.0
2012,ANA,48.0,49.0,49.0
2012,ARI,48.0,49.0,49.0
2012,BOS,53.0,53.0,53.0
2012,BUF,47.0,49.0,48.0
2012,CAR,48.0,49.0,48.0
2012,CBJ,50.0,50.0,50.0
2012,CGY,49.0,47.0,46.0
2012,CHI,52.0,53.0,52.0
2012,COL,50.0,51.0,50.0
2012,DAL,47.0,48.0,49.0
2012,DET,53.0,54.0,55.0
2012,EDM,45.0,46.0,47.0
2012,FLA,48.0,50.0,50.0
2012,LAK,53.0,54.0,53.0
2012,MIN,47.0,45.0,45.0
2012,MTL,48.0,49.0,49.0
2012,NJD,53.0,51.0,51.0
2012,NSH,49.0,46.0,47.0
2012,NYI,49.0,48.0,49.0
2012,NYR,52.0,48.0,50.0
2012,OTT,49.0,52.0,50.0
2012,PHI,54.0,52.0,52.0
2012,PIT,56.0,55.0,55.0
2012,SJS,54.0,53.0,54.0
2012,STL,56.0,53.0,54.0
2012,TBL,46.0,47.0,47.0
2012,TOR,48.0,49.0,48.0
2012,VAN,49.0,53.0,52.0
2012,WPG,49.0,50.0,50.0
2012,WSH,48.0,48.0,48.0
2013,ANA,51.0,48.0,49.0
2013,ARI,48.0,50.0,50.0
2013,BOS,53.0,53.0,53.0
2013,BUF,43.0,45.0,45.0
2013,CAR,49.0,51.0,50.0
2013,CBJ,48.0,49.0,47.0
2013,CGY,48.0,48.0,48.0
2013,CHI,53.0,53.0,54.0
2013,COL,46.0,47.0,48.0
2013,DAL,45.0,48.0,46.0
2013,DET,52.0,54.0,54.0
2013,EDM,45.0,44.0,45.0
2013,FLA,46.0,49.0,48.0
2013,LAK,55.0,56.0,55.0
2013,MIN,56.0,51.0,51.0
2013,MTL,54.0,53.0,53.0
2013,NJD,54.0,56.0,56.0
2013,NSH,49.0,47.0,48.0
2013,NYI,54.0,51.0,51.0
2013,NYR,51.0,51.0,52.0
2013,OTT,52.0,53.0,52.0
2013,PHI,50.0,49.0,49.0
2013,PIT,52.0,50.0,50.0
2013,SJS,54.0,52.0,52.0
2013,STL,52.0,52.0,53.0
2013,TBL,47.0,47.0,47.0
2013,TOR,47.0,45.0,45.0
2013,VAN,51.0,52.0,51.0
2013,WPG,50.0,50.0,50.0
2013,WSH,50.0,48.0,48.0
2014,ANA,52.0,50.0,51.0
2014,ARI,47.0,50.0,50.0
2014,BOS,55.0,53.0,53.0
2014,BUF,42.0,43.0,43.0
2014,CAR,49.0,51.0,50.0
2014,CBJ,50.0,50.0,50.0
2014,CGY,48.0,47.0,48.0
2014,CHI,55.0,55.0,55.0
2014,COL,48.0,47.0,46.0
2014,DAL,50.0,51.0,51.0
2014,DET,51.0,51.0,51.0
2014,EDM,45.0,45.0,44.0
2014,FLA,47.0,50.0,50.0
2014,LAK,54.0,56.0,55.0
2014,MIN,50.0,49.0,49.0
2014,MTL,49.0,47.0,48.0
2014,NJD,53.0,53.0,52.0
2014,NSH,51.0,48.0,49.0
2014,NYI,50.0,50.0,50.0
2014,NYR,52.0,53.0,53.0
2014,OTT,49.0,51.0,50.0
2014,PHI,52.0,51.0,51.0
2014,PIT,52.0,49.0,50.0
2014,SJS,59.0,54.0,56.0
2014,STL,53.0,53.0,53.0
2014,TBL,51.0,50.0,50.0
2014,TOR,43.0,44.0,43.0
2014,VAN,50.0,52.0,52.0
2014,WPG,49.0,50.0,51.0
2014,WSH,47.0,48.0,47.0
2015,ANA,51.0,51.0,52.0
2015,ARI,44.0,48.0,47.0
2015,BOS,51.0,52.0,51.0
2015,BUF,40.0,38.0,39.0
2015,CAR,51.0,53.0,52.0
2015,CBJ,47.0,47.0,47.0
2015,CGY,50.0,47.0,48.0
2015,CHI,53.0,54.0,53.0
2015,COL,45.0,44.0,45.0
2015,DAL,52.0,52.0,52.0
2015,DET,52.0,53.0,52.0
2015,EDM,46.0,49.0,48.0
2015,FLA,51.0,51.0,50.0
2015,LAK,51.0,54.0,54.0
2015,MIN,55.0,51.0,52.0
2015,MTL,49.0,48.0,49.0
2015,NJD,46.0,46.0,45.0
2015,NSH,53.0,53.0,53.0
2015,NYI,55.0,53.0,54.0
2015,NYR,53.0,50.0,50.0
2015,OTT,52.0,51.0,50.0
2015,PHI,49.0,50.0,49.0
2015,PIT,52.0,52.0,52.0
2015,SJS,52.0,52.0,52.0
2015,STL,53.0,52.0,53.0
2015,TBL,52.0,51.0,51.0
2015,TOR,45.0,47.0,46.0
2015,VAN,49.0,49.0,50.0
2015,WPG,51.0,52.0,51.0
2015,WSH,52.0,51.0,51.0
2016,ANA,55.0,52.0,53.0
2016,ARI,47.0,48.0,47.0
2016,BOS,48.0,50.0,50.0
2016,BUF,49.0,48.0,48.0
2016,CAR,51.0,53.0,52.0
2016,CBJ,49.0,48.0,48.0
2016,CGY,49.0,49.0,49.0
2016,CHI,50.0,50.0,50.0
2016,COL,44.0,45.0,46.0
2016,DAL,53.0,52.0,52.0
2016,DET,50.0,51.0,50.0
2016,EDM,48.0,49.0,48.0
2016,FLA,50.0,49.0,49.0
2016,LAK,52.0,55.0,55.0
2016,MIN,52.0,49.0,49.0
2016,MTL,51.0,51.0,51.0
2016,NJD,47.0,46.0,47.0
2016,NSH,54.0,52.0,53.0
2016,NYI,50.0,49.0,50.0
2016,NYR,47.0,48.0,48.0
2016,OTT,48.0,48.0,47.0
2016,PHI,50.0,51.0,51.0
2016,PIT,54.0,52.0,52.0
2016,SJS,55.0,52.0,53.0
2016,STL,49.0,50.0,50.0
2016,TBL,51.0,51.0,51.0
2016,TOR,51.0,52.0,51.0
2016,VAN,44.0,47.0,47.0
2016,WPG,49.0,51.0,50.0
2016,WSH,52.0,51.0,51.0
2017,ANA,52.0,50.0,50.0
2017,ARI,43.0,45.0,44.0
2017,BOS,56.0,54.0,55.0
2017,BUF,47.0,47.0,47.0
2017,CAR,53.0,52.0,52.0
2017,CBJ,51.0,50.0,50.0
2017,CGY,49.0,50.0,50.0
2017,CHI,49.0,50.0,49.0
2017,COL,45.0,49.0,48.0
2017,DAL,48.0,50.0,51.0
2017,DET,47.0,49.0,48.0
2017,EDM,52.0,50.0,51.0
2017,FLA,49.0,52.0,51.0
2017,LAK,52.0,55.0,55.0
2017,MIN,55.0,50.0,50.0
2017,MTL,51.0,51.0,51.0
2017,NJD,46.0,47.0,47.0
2017,NSH,51.0,51.0,51.0
2017,NYI,49.0,48.0,48.0
2017,NYR,51.0,49.0,50.0
2017,OTT,50.0,49.0,49.0
2017,PHI,52.0,52.0,53.0
2017,PIT,52.0,50.0,51.0
2017,SJS,51.0,51.0,52.0
2017,STL,50.0,49.0,50.0
2017,TBL,52.0,51.0,51.0
2017,TOR,51.0,50.0,50.0
2017,VAN,45.0,48.0,47.0
2017,WPG,50.0,49.0,49.0
2017,WSH,50.0,52.0,52.0
2018,ANA,49.0,48.0,48.0
2018,ARI,47.0,49.0,47.0
2018,BOS,54.0,53.0,53.0
2018,BUF,45.0,49.0,49.0
2018,CAR,55.0,55.0,54.0
2018,CBJ,50.0,51.0,52.0
2018,CGY,52.0,53.0,53.0
2018,CHI,49.0,52.0,51.0
2018,COL,48.0,47.0,47.0
2018,DAL,52.0,51.0,51.0
2018,DET,47.0,49.0,49.0
2018,EDM,50.0,51.0,51.0
2018,FLA,50.0,50.0,50.0
2018,LAK,48.0,50.0,50.0
2018,MIN,53.0,47.0,48.0
2018,MTL,50.0,50.0,50.0
2018,NJD,50.0,49.0,49.0
2018,NSH,51.0,51.0,51.0
2018,NYI,47.0,47.0,47.0
2018,NYR,47.0,47.0,47.0
2018,OTT,45.0,48.0,48.0
2018,PHI,52.0,51.0,51.0
2018,PIT,52.0,52.0,52.0
2018,SJS,52.0,52.0,52.0
2018,STL,51.0,52.0,53.0
2018,TBL,52.0,51.0,51.0
2018,TOR,52.0,50.0,49.0
2018,VAN,47.0,48.0,48.0
2018,VGK,52.0,52.0,52.0
2018,WPG,52.0,50.0,50.0
2018,WSH,47.0,48.0,47.0
2019,ANA,44.0,47.0,46.0
2019,ARI,51.0,49.0,50.0
2019,BOS,52.0,53.0,53.0
2019,BUF,48.0,50.0,50.0
2019,CAR,56.0,55.0,55.0
2019,CBJ,51.0,51.0,52.0
2019,CGY,53.0,54.0,53.0
2019,CHI,45.0,49.0,48.0
2019,COL,50.0,49.0,50.0
2019,DAL,51.0,48.0,49.0
2019,DET,45.0,47.0,46.0
2019,EDM,48.0,48.0,48.0
2019,FLA,49.0,51.0,51.0
2019,LAK,46.0,48.0,48.0
2019,MIN,52.0,50.0,51.0
2019,MTL,51.0,53.0,53.0
2019,NJD,48.0,48.0,48.0
2019,NSH,50.0,52.0,52.0
2019,NYI,51.0,48.0,48.0
2019,NYR,47.0,46.0,46.0
2019,OTT,47.0,45.0,45.0
2019,PHI,49.0,49.0,50.0
2019,PIT,53.0,49.0,50.0
2019,SJS,53.0,54.0,54.0
2019,STL,53.0,52.0,52.0
2019,TBL,54.0,50.0,50.0
2019,TOR,52.0,52.0,51.0
2019,VAN,47.0,48.0,49.0
2019,VGK,55.0,55.0,54.0
2019,WPG,48.0,49.0,49.0
2019,WSH,48.0,49.0,49.0
2020,ANA,47.0,49.0,49.0
2020,ARI,50.0,49.0,48.0
2020,BOS,52.0,51.0,51.0
2020,BUF,47.0,49.0,49.0
2020,CAR,54.0,54.0,53.0
2020,CBJ,52.0,49.0,51.0
2020,CGY,51.0,50.0,49.0
2020,CHI,48.0,49.0,48.0
2020,COL,50.0,51.0,51.0
2020,DAL,52.0,49.0,49.0
2020,DET,42.0,46.0,46.0
2020,EDM,50.0,47.0,48.0
2020,FLA,49.0,50.0,50.0
2020,LAK,50.0,53.0,53.0
