Eastern Conference,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Playoff teams are marked with an asterisk (*),,,,,,,,,,,,,,
,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Atlantic Division,,,,,,,,,,,,,,
Buffalo Sabres*,82,50,23,9,109,0.665,288,241,0.59,0.02,0.585,42,42-23-17,0.616
Tampa Bay Lightning*,82,50,26,6,106,0.646,290,231,0.73,0.01,0.598,40,40-26-16,0.585
Montreal Canadiens*,82,48,24,10,106,0.646,283,256,0.37,0.04,0.591,34,34-24-24,0.561
Boston Bruins*,82,45,27,10,100,0.61,272,250,0.31,0.04,0.543,33,33-27-22,0.537
Ottawa Senators*,82,44,27,11,99,0.604,278,246,0.4,0.01,0.524,38,38-27-17,0.567
Detroit Red Wings,82,41,31,10,92,0.561,241,258,-0.16,0.05,0.512,30,30-31-21,0.494
Florida Panthers,82,40,38,4,84,0.512,251,276,-0.25,0.05,0.47,32,32-38-12,0.463
Toronto Maple Leafs,82,32,36,14,78,0.476,253,299,-0.5,0.06,0.409,23,23-36-23,0.421
Metropolitan Division,,,,,,,,,,,,,,
Carolina Hurricanes*,82,53,22,7,113,0.689,296,240,0.69,0.01,0.64,39,39-22-21,0.604
Pittsburgh Penguins*,82,41,25,16,98,0.598,293,268,0.33,0.03,0.543,34,34-25-23,0.555
Philadelphia Flyers*,82,43,27,12,98,0.598,250,243,0.13,0.04,0.488,27,27-27-28,0.5
Washington Capitals,82,43,30,9,95,0.579,263,244,0.25,0.02,0.549,37,37-30-15,0.543
Columbus Blue Jackets,82,40,30,12,92,0.561,253,253,0.04,0.04,0.457,28,28-30-24,0.488
New York Islanders,82,43,34,5,91,0.555,233,241,-0.06,0.03,0.53,29,29-34-19,0.47
New Jersey Devils,82,42,37,3,87,0.53,230,254,-0.24,0.06,0.494,29,29-37-16,0.451
New York Rangers,82,34,39,9,77,0.47,238,250,-0.1,0.05,0.402,25,25-39-18,0.415
,,,,,,,,,,,,,,
Western Conference,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Playoff teams are marked with an asterisk (*),,,,,,,,,,,,,,
,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,RW,RgRec,RgPt%
Central Division,,,,,,,,,,,,,,
Colorado Avalanche*,82,55,16,11,121,0.738,302,203,1.14,-0.07,0.683,48,48-16-18,0.695
Dallas Stars*,82,50,20,12,112,0.683,279,226,0.61,-0.04,0.598,38,38-20-24,0.61
Minnesota Wild*,82,46,24,12,104,0.634,272,240,0.35,-0.04,0.567,31,31-24-27,0.543
Utah Mammoth*,82,43,33,6,92,0.561,268,240,0.3,-0.04,0.524,33,33-33-16,0.5
St. Louis Blues,82,37,33,12,86,0.524,231,258,-0.35,-0.02,0.47,33,33-33-16,0.5
Nashville Predators,82,38,34,10,86,0.524,247,269,-0.28,-0.01,0.445,28,28-34-20,0.463
Winnipeg Jets,82,35,35,12,82,0.5,231,260,-0.36,-0.01,0.439,28,28-35-19,0.457
Chicago Blackhawks,82,29,39,14,72,0.439,213,275,-0.76,-0.01,0.366,22,22-39-21,0.396
Pacific Division,,,,,,,,,,,,,,
Vegas Golden Knights*,82,39,26,17,95,0.579,265,250,0.13,-0.06,0.518,30,30-26-26,0.524
Edmonton Oilers*,82,41,30,11,93,0.567,282,269,0.09,-0.07,0.524,32,32-30-20,0.512
Anaheim Ducks*,82,43,33,6,92,0.561,273,288,-0.24,-0.06,0.476,26,26-33-23,0.457
Los Angeles Kings*,82,35,27,20,90,0.549,225,247,-0.32,-0.05,0.451,22,22-27-33,0.47
San Jose Sharks,82,39,35,8,86,0.524,251,292,-0.53,-0.03,0.476,27,27-35-20,0.451
Seattle Kraken,82,34,37,11,79,0.482,226,263,-0.48,-0.03,0.439,26,26-37-19,0.433
Calgary Flames,82,34,39,9,77,0.47,212,259,-0.59,-0.02,0.409,27,27-39-16,0.427
Vancouver Canucks,82,25,49,8,58,0.354,216,316,-1.22,0,0.28,15,15-49-18,0.293
