season,team_abbr,gp,w,l,otl,pts,pts_pct,gf,ga,gd
1918,MTL,22,13,9,0,26,0.591,115,84,31
1919,MTL,18,10,8,0,20,0.556,88,78,10
1920,MTL,24,13,11,0,26,0.542,129,113,16
1921,HAM,24,6,18,0,12,0.25,92,132,-40
1921,MTL,24,13,11,0,26,0.542,112,99,13
1922,HAM,24,7,17,0,14,0.292,88,105,-17
1922,MTL,24,12,11,0,25,0.521,88,94,-6
1923,HAM,24,6,18,0,12,0.25,81,110,-29
1923,MTL,24,13,9,0,28,0.583,73,61,12
1924,HAM,24,9,15,0,18,0.375,63,68,-5
1924,MTL,24,13,11,0,26,0.542,59,48,11
1925,BOS,30,6,24,0,12,0.2,49,119,-70
1925,HAM,30,19,10,0,39,0.65,90,60,30
1925,MMR,30,9,19,0,20,0.333,45,65,-20
1925,MTL,30,17,11,0,36,0.6,93,56,37
1926,BOS,36,17,15,0,38,0.528,92,85,7
1926,MMR,36,20,11,0,45,0.625,91,73,18
1926,MTL,36,11,24,0,23,0.319,79,108,-29
1926,NYA,36,12,20,0,28,0.389,68,89,-21
1927,BOS,44,21,20,0,45,0.511,97,89,8
1927,CHI,44,19,22,0,41,0.466,115,116,-1
1927,DCG,44,12,28,0,28,0.318,76,105,-29
1927,MMR,44,20,20,0,44,0.5,71,68,3
1927,MTL,44,28,14,0,58,0.659,99,67,32
1927,NYA,44,17,25,0,36,0.409,82,91,-9
1927,NYR,44,25,13,0,56,0.636,95,72,23
1928,BOS,44,20,13,0,51,0.58,77,70,7
1928,CHI,44,7,34,0,17,0.193,68,134,-66
1928,DCG,44,19,19,0,44,0.5,88,79,9
1928,MMR,44,24,14,0,54,0.614,96,77,19
1928,MTL,44,26,11,0,59,0.67,116,48,68
1928,NYA,44,11,27,0,28,0.318,63,128,-65
1928,NYR,44,19,16,0,47,0.534,94,79,15
1928,TOR,44,18,18,0,44,0.5,89,88,1
1929,BOS,44,26,13,0,57,0.648,89,52,37
1929,CHI,44,7,29,0,22,0.25,33,85,-52
1929,DCG,44,19,16,0,47,0.534,72,63,9
1929,MMR,44,15,20,0,39,0.443,67,65,2
1929,MTL,44,22,7,0,59,0.67,71,43,28
1929,NYA,44,19,13,0,50,0.568,53,53,0
1929,NYR,44,21,13,0,52,0.591,72,65,7
1929,TOR,44,21,18,0,47,0.534,85,69,16
1930,BOS,44,38,5,0,77,0.875,179,98,81
1930,CHI,44,21,18,0,47,0.534,117,111,6
1930,DCG,44,14,24,0,34,0.386,117,133,-16
1930,MMR,44,23,16,0,51,0.58,141,114,27
1930,MTL,44,21,14,0,51,0.58,142,114,28
1930,NYA,44,14,25,0,33,0.375,113,161,-48
1930,NYR,44,17,17,0,44,0.5,136,143,-7
1930,TOR,44,17,21,0,40,0.455,116,124,-8
1931,BOS,44,28,10,0,62,0.705,143,90,53
1931,CHI,44,24,17,0,51,0.58,108,78,30
1931,DFL,44,16,21,0,39,0.443,102,105,-3
1931,MMR,44,20,18,0,46,0.523,105,106,-1
1931,MTL,44,26,10,0,60,0.682,129,89,40
1931,NYA,44,18,16,0,46,0.523,76,74,2
1931,NYR,44,19,16,0,47,0.534,106,87,19
1931,TOR,44,22,13,0,53,0.602,118,99,19
1932,BOS,48,15,21,0,42,0.438,122,117,5
1932,CHI,48,18,19,0,47,0.49,86,101,-15
1932,DFL,48,18,20,0,46,0.479,95,108,-13
1932,MMR,48,19,22,0,45,0.469,142,139,3
1932,MTL,48,25,16,0,57,0.594,128,111,17
1932,NYA,48,16,24,0,40,0.417,95,142,-47
1932,NYR,48,23,17,0,54,0.562,134,112,22
1932,TOR,48,23,18,0,53,0.552,155,127,28
1933,BOS,48,25,15,0,58,0.604,124,88,36
1933,CHI,48,16,20,0,44,0.458,88,101,-13
1933,DET,48,25,15,0,58,0.604,111,93,18
1933,MMR,48,22,20,0,50,0.521,135,119,16
1933,MTL,48,18,25,0,41,0.427,92,115,-23
1933,NYA,48,15,22,0,41,0.427,91,118,-27
1933,NYR,48,23,17,0,54,0.562,135,107,28
1933,TOR,48,24,18,0,54,0.562,119,111,8
1934,BOS,48,18,25,0,41,0.427,111,130,-19
1934,CHI,48,20,17,0,51,0.531,88,83,5
1934,DET,48,24,14,0,58,0.604,113,98,15
1934,MMR,48,19,18,0,49,0.51,117,122,-5
1934,MTL,48,22,20,0,50,0.521,99,101,-2
1934,NYA,48,15,23,0,40,0.417,104,132,-28
1934,NYR,48,21,19,0,50,0.521,120,113,7
1934,TOR,48,26,13,0,61,0.635,174,119,55
1935,BOS,48,26,16,0,58,0.604,129,112,17
1935,CHI,48,26,17,0,57,0.594,118,88,30
1935,DET,48,19,22,0,45,0.469,127,114,13
1935,MMR,48,24,19,0,53,0.552,123,92,31
1935,MTL,48,19,23,0,44,0.458,110,145,-35
1935,NYA,48,12,27,0,33,0.344,100,142,-42
1935,NYR,48,22,20,0,50,0.521,137,139,-2
1935,TOR,48,30,14,0,64,0.667,157,111,46
1936,BOS,48,22,20,0,50,0.521,92,83,9
1936,CHI,48,21,19,0,50,0.521,93,92,1
1936,DET,48,24,16,0,56,0.583,124,103,21
1936,MMR,48,22,16,0,54,0.562,114,106,8
1936,MTL,48,11,26,0,33,0.344,82,123,-41
1936,NYA,48,16,25,0,39,0.406,109,122,-13
1936,NYR,48,19,17,0,50,0.521,91,96,-5
1936,TOR,48,23,19,0,52,0.542,126,106,20
1937,BOS,48,23,18,0,53,0.552,120,110,10
1937,CHI,48,14,27,0,35,0.365,99,131,-32
1937,DET,48,25,14,0,59,0.615,128,102,26
1937,MMR,48,22,17,0,53,0.552,126,110,16
1937,MTL,48,24,18,0,54,0.562,115,111,4
1937,NYA,48,15,29,0,34,0.354,122,161,-39
1937,NYR,48,19,20,0,47,0.49,117,106,11
1937,TOR,48,22,21,0,49,0.51,119,115,4
1938,BOS,48,30,11,0,67,0.698,142,89,53
1938,CHI,48,14,25,0,37,0.385,97,139,-42
1938,DET,48,12,25,0,35,0.365,99,133,-34
1938,MMR,48,12,30,0,30,0.312,101,149,-48
1938,MTL,48,18,17,0,49,0.51,123,128,-5
1938,NYA,48,19,18,0,49,0.51,110,111,-1
1938,NYR,48,27,15,0,60,0.625,149,96,53
1938,TOR,48,24,15,0,57,0.594,151,127,24
1939,BOS,48,36,10,0,74,0.771,156,76,80
1939,CHI,48,12,28,0,32,0.333,91,132,-41
1939,DET,48,18,24,0,42,0.438,107,128,-21
1939,MTL,48,15,24,0,39,0.406,115,146,-31
1939,NYA,48,17,21,0,44,0.458,119,157,-38
