season,team_abbr,xgf_pct,cf_pct,ff_pct
2008,AFM,53.8,51.3,51.7
2008,ANA,50.2,51.2,51.6
2008,ARI,50.0,50.7,51.1
2008,ATL,50.7,51.2,51.0
2008,BOS,51.2,51.7,50.7
2008,BUF,53.7,52.6,51.1
2008,CAR,53.7,52.4,52.5
2008,CBJ,49.9,51.0,50.6
2008,CGS,53.5,52.3,50.4
2008,CGY,51.0,52.5,50.7
2008,CHI,53.2,52.3,51.1
2008,CLE,50.1,52.8,50.1
2008,CLR,52.6,51.0,50.8
2008,COL,51.4,53.0,51.5
2008,DAL,49.9,50.3,51.0
2008,DET,53.1,52.3,51.7
2008,EDM,51.7,53.2,53.3
2008,FLA,51.4,53.2,50.9
2008,KCS,52.3,50.0,52.8
2008,LAK,52.4,52.4,52.3
2008,MIN,52.2,50.3,51.8
2008,MTL,53.7,50.4,52.6
2008,NJD,51.9,51.2,50.2
2008,NSH,53.0,51.4,51.8
2008,NYI,53.0,52.4,51.8
2008,NYR,51.4,52.0,53.1
2008,OAK,49.9,50.4,51.6
2008,OTT,50.7,50.2,51.2
2008,PHI,52.4,51.7,50.0
2008,PHX,51.4,51.4,49.9
2008,PIT,52.7,52.6,50.1
2008,SEA,51.0,52.6,50.2
2008,SJS,51.4,52.1,50.3
2008,STL,51.7,51.8,51.0
2008,TBL,51.4,53.0,51.2
2008,TOR,52.5,51.0,52.6
2008,UTA,51.8,51.0,52.4
2008,VAN,53.0,52.2,51.9
2008,VGK,51.5,53.1,52.2
2008,WIN,52.0,50.4,52.1
2008,WPG,52.4,51.6,50.2
2008,WSH,51.7,51.7,50.2
2009,AFM,51.7,52.4,52.8
2009,ANA,53.5,50.5,50.0
2009,ARI,49.9,51.4,50.3
2009,ATL,53.3,50.2,50.5
2009,BOS,51.7,51.0,52.5
2009,BUF,53.6,50.7,51.3
2009,CAR,54.2,51.3,52.0
2009,CBJ,51.0,52.1,51.4
2009,CGS,52.7,50.7,52.1
2009,CGY,51.9,51.1,50.5
2009,CHI,50.5,51.9,52.5
2009,CLE,53.5,50.0,51.8
2009,CLR,50.1,50.2,52.3
2009,COL,51.5,51.5,52.1
2009,DAL,52.9,50.8,52.3
2009,DET,53.7,51.3,52.5
2009,EDM,52.1,52.5,52.7
2009,FLA,52.9,52.1,51.6
2009,KCS,52.3,51.1,52.0
2009,LAK,52.1,51.0,51.8
2009,MIN,50.1,50.4,50.0
2009,MTL,51.9,51.6,50.8
2009,NJD,53.1,51.8,52.8
2009,NSH,51.2,50.0,50.4
2009,NYI,51.1,52.3,51.0
2009,NYR,50.7,52.3,51.4
2009,OAK,51.4,51.5,50.8
2009,OTT,53.0,50.2,50.8
2009,PHI,49.9,50.9,51.3
2009,PHX,53.2,51.1,52.6
2009,PIT,53.0,52.6,51.6
2009,SEA,51.0,51.8,52.4
2009,SJS,51.4,51.7,51.5
2009,STL,50.3,50.7,51.7
2009,TBL,53.9,52.9,50.5
2009,TOR,54.0,51.6,52.6
2009,UTA,53.8,52.6,50.7
2009,VAN,51.1,50.8,50.5
2009,VGK,53.6,51.8,53.3
2009,WIN,50.3,51.0,51.7
2009,WPG,51.5,50.3,50.4
2009,WSH,51.1,51.0,51.6
2010,AFM,51.4,50.2,52.1
2010,ANA,50.0,50.0,49.9
2010,ARI,50.3,50.8,51.9
2010,ATL,51.6,50.4,50.5
2010,BOS,54.0,51.4,53.0
2010,BUF,53.8,52.7,52.5
2010,CAR,51.4,52.7,50.6
2010,CBJ,53.6,50.1,50.9
2010,CGS,50.7,50.0,50.0
2010,CGY,52.3,52.3,50.7
2010,CHI,50.5,50.3,51.3
2010,CLE,52.0,51.4,51.2
2010,CLR,52.6,51.8,52.8
2010,COL,50.9,52.9,52.6
2010,DAL,53.4,52.8,51.1
2010,DET,51.6,50.2,51.5
2010,EDM,52.7,52.3,53.2
2010,FLA,51.7,52.5,51.0
2010,KCS,50.7,51.7,52.0
2010,LAK,50.9,50.8,50.1
2010,MIN,52.1,52.5,51.9
2010,MTL,52.8,50.5,50.1
2010,NJD,53.7,50.1,49.9
2010,NSH,50.7,52.3,50.4
2010,NYI,50.3,50.5,51.7
2010,NYR,52.5,52.9,52.6
2010,OAK,50.9,50.1,50.2
2010,OTT,51.1,51.2,50.3
2010,PHI,51.9,52.6,50.5
2010,PHX,51.0,51.1,51.7
2010,PIT,51.3,52.8,52.5
2010,SEA,50.1,50.7,50.2
2010,SJS,51.9,52.2,50.4
2010,STL,51.0,50.4,50.8
2010,TBL,53.9,52.2,50.7
2010,TOR,53.9,52.5,51.0
2010,UTA,52.4,52.1,51.1
2010,VAN,53.4,50.4,50.0
2010,VGK,53.0,51.7,51.1
2010,WIN,53.4,50.7,50.5
2010,WPG,53.5,50.1,51.2
2010,WSH,50.4,51.4,51.4
2011,AFM,52.9,50.3,50.1
2011,ANA,53.0,50.9,50.7
2011,ARI,52.2,52.1,50.2
2011,ATL,51.9,52.0,51.3
2011,BOS,51.6,53.0,51.0
2011,BUF,51.1,50.1,50.4
2011,CAR,54.0,50.7,50.3
2011,CBJ,51.7,50.9,50.4
2011,CGS,51.1,51.2,51.9
2011,CGY,50.9,50.1,51.9
2011,CHI,53.3,51.7,52.8
2011,CLE,53.0,49.9,50.0
2011,CLR,51.0,51.7,50.0
2011,COL,52.7,51.8,51.0
2011,DAL,50.3,52.3,51.6
2011,DET,53.8,52.4,51.5
2011,EDM,51.1,50.7,50.6
2011,FLA,51.6,52.5,51.7
2011,KCS,51.0,52.5,51.9
2011,LAK,52.8,52.8,50.7
2011,MIN,51.8,51.0,49.9
2011,MTL,51.3,52.0,52.6
2011,NJD,52.9,52.5,52.6
2011,NSH,52.2,50.2,51.9
2011,NYI,52.8,49.9,52.8
2011,NYR,53.8,52.3,50.7
2011,OAK,49.8,50.6,50.9
2011,OTT,51.8,50.6,52.1
2011,PHI,53.7,51.0,52.1
2011,PHX,52.5,50.8,50.7
2011,PIT,50.6,52.7,51.8
2011,SEA,51.8,51.9,51.3
2011,SJS,53.7,52.5,51.9
2011,STL,53.4,51.2,52.8
2011,TBL,52.5,51.1,52.3
2011,TOR,54.0,51.5,51.6
2011,UTA,50.4,52.8,51.8
2011,VAN,53.8,50.8,50.0
2011,VGK,52.5,51.3,52.1
2011,WIN,50.9,52.9,50.5
2011,WPG,51.6,51.2,52.8
2011,WSH,53.0,50.7,52.8
2012,AFM,52.6,50.2,51.1
2012,ANA,52.2,50.1,50.5
2012,ARI,51.7,50.9,52.3
2012,ATL,52.4,51.1,52.8
2012,BOS,50.8,51.1,51.2
2012,BUF,51.1,51.6,51.9
2012,CAR,51.7,52.0,52.3
2012,CBJ,50.6,50.3,51.5
2012,CGS,52.8,51.5,51.3
2012,CGY,51.0,50.1,51.6
2012,CHI,52.4,51.5,51.0
2012,CLE,51.6,51.8,50.4
2012,CLR,53.1,51.9,50.4
2012,COL,53.9,51.6,50.7
2012,DAL,51.6,50.8,52.7
2012,DET,52.7,51.3,51.2
2012,EDM,52.1,51.5,50.4
2012,FLA,52.6,53.2,51.6
2012,KCS,51.8,51.9,51.1
2012,LAK,52.9,51.7,50.8
2012,MIN,50.8,51.4,50.3
2012,MTL,52.0,51.6,50.8
2012,NJD,52.9,51.1,51.1
2012,NSH,49.9,52.3,52.5
2012,NYI,51.7,50.0,50.0
2012,NYR,53.7,52.2,51.3
2012,OAK,51.0,51.9,52.8
2012,OTT,50.2,50.8,51.3
2012,PHI,51.2,50.1,52.1
2012,PHX,52.6,52.5,51.7
2012,PIT,52.5,52.1,50.0
2012,SEA,51.5,52.8,52.3
2012,SJS,50.7,50.3,52.1
2012,STL,51.8,50.6,51.9
2012,TBL,53.8,51.2,51.2
